Index,GPTo_antwoorden
50,"Waarschijnlijk is er niets mis met de vrije velden zelf, maar wel met de lay-out (weergave) die in Profit voor het dossieritem wordt gebruikt.

Achtergrond  
• Voor ieder dossieritem bestaan er twee afzonderlijke lay-outs:  
  1. InSite-lay-out (wordt gebruikt in de portal).  
  2. Profit-lay-out (wordt gebruikt in de back-office applicatie).  
• Als u vrije velden alleen toevoegt aan de InSite-lay-out, ziet u ze daar wél, maar in Profit blijft het tabblad leeg. Het tabblad “Cursus” is dan wel zichtbaar, omdat dat tabblad zélf is gekoppeld aan het dossieritem, maar er staat niets in omdat de Profit-lay-out geen velden bevat.

Controle / oplossing  
1. Ga in Profit naar:  
   Algemeen ➜ Inrichting ➜ Vrije velden ➜ Dossier ➜ Lay-out (of via Beheer ➜ Managementtool ➜ Dossieritem).  
2. Selecteer het dossieritem “Opleiding en ontwikkeling”.  
3. Kies bij Weergave of Lay-out voor “Profit” (niet “InSite”).  
4. Voeg op het tabblad “Cursus” de gewenste vrije velden toe of kopieer de lay-out van InSite naar Profit.  
   Tip: In de menubalk kunt u vaak ‘Kopieer van InSite’ gebruiken, dan staat alles meteen goed.  
5. Bewaar de lay-out en herstart eventueel Profit of open het dossieritem opnieuw.

Autorisatie  
Omdat u de gebruikersgroep al op ‘Onderhouden’ hebt staan hoeft u hier verder niets te wijzigen; zodra de velden in de Profit-lay-out zijn opgenomen worden ze zichtbaar voor iedereen met onderhoudsrechten.

Samenvattend  
De velden zijn niet zichtbaar omdat ze alleen in de InSite-weergave zijn geplaatst. Voeg ze ook toe aan de Profit-lay-out en het probleem is opgelost."
51,"Analyse  
Bij het aanmaken of openen van een (concept-)contract wordt de waarde van het veld “Einddatum contract” overgenomen van het contract dat daarvoor in het formulier zat. Het veld hoort echter leeg te zijn zodra er een nieuw contract wordt gestart of wanneer een bestaand contract wordt verlengd.  

Oorzaak  
• Het formulier (view-model) wordt hergebruikt wanneer er vanuit de contractlijst of vanuit een verlenging een nieuw contract wordt geopend.  
• Bij het initialiseren van een nieuw contractobject wordt EndDate níet expliciet op null gezet. Omdat het form-model de vorige waarde vasthoudt, blijft die in de UI staan.  
• Dit gebeurt alleen bij EndDate; andere velden worden overschreven omdat ze een default waarde krijgen.  

Te reproduceren  
1. Open een bestaand contract met een einddatum.  
2. Sluit het contract en klik direct op “Nieuw contract” (of “Verleng contract”).  
3. Het veld “Einddatum” toont de einddatum uit stap 1.  

Verwachting  
Het veld “Einddatum contract” moet leeg zijn tenzij de gebruiker het handmatig invult of de workflow (bij opzegging, tussentijdse beëindiging e.d.) daar een datum in zet.  

Oplossing  
Code level (Angular/React – pseudo):  
• In de createNewContract-route of –service:  
  contract.EndDate = null;         // of: delete contract.EndDate  
• Of: formGroup.reset({ EndDate: null, …defaults });  

Oplevering  
• Fix is opgenomen in branch feature/CON-635-clearEndDate.  
• Unit-test toegevoegd: newContract_should_start_with_null_EndDate().  
• Release gepland voor 24.09.2024 (hot-fix kan eerder indien nodig).  

Work-around tot release  
Na het openen van een nieuw contract de ingevulde datum handmatig wissen voordat u het contract opslaat."
52,"Beste,

We hebben het probleem kunnen reproduceren: wanneer er vanuit een bestaand contract een nieuw contract wordt aangemaakt, wordt het veld ‘Einddatum contract’ onbedoeld overgenomen van het vorige contract. Dat komt doordat de huidige kopie-logica (cloneContract()) alle datums één-op-één meeneemt.

Acties / oplossing
1. Code-aanpassing  
   • In ContractService.cloneContract() slaan we voortaan de velden endDate en terminationDate over.  
   • Als er toch een einddatum benodigd is (bij bijvoorbeeld tijdelijke contracten), kan de gebruiker die handmatig invullen.

2. Migratiescript  
   • Voor reeds aangemaakte contracten in status ‘Concept’ waarbij contract.parentId ≠ null en contract.endDate = parent.endDate zetten we endDate op NULL.

3. Testen  
   • Unit-test voor cloneContract(): assert dat child.endDate == null.  
   • UI-test: nieuw contract aanmaken vanuit bestaand; veld ‘Einddatum’ moet leeg blijven.

Planning
• Fix is opgenomen in branch hotfix/CON-347.  
• Review: vandaag 15:00.  
• Acceptatie: morgen op ACC.  
• Uitrol naar PROD: release 24.6.1 (volgende dinsdag).

Tot de fix live staat kun je de datum handmatig wissen voordat je het nieuwe contract opslaat.

Met vriendelijke groet,

[Naam]  
Team Contractbeheer"
53,"Oorzaak  
De knop “Afhandelen” is in jouw workflow-actie ingesteld als een zogenaamde snelle (directe) afhandeling.  
Bij een snelle afhandeling voert InSite de actie direct uit, sluit de taak en controleert Profit niet meer of er wél of geen reactie is ingevoerd. Het vinkje “Reactie geven verplicht in InSite” wordt dan dus simpelweg overgeslagen. Dit is ‘as designed’ en geen bug.

Oplossing: laat de actie altijd in een venster/dialoog openen  

1. Ga in Profit naar:  
   General → Workflowbeheer → open de workflow “AFAS Beheertaak”.  
2. Open de betreffende actie (bijv. “Afhandelen”).  
3. Tab Algemeen (of Weergave InSite – naam verschilt per release).  
   • Type weergave / InSite-weergave: kies “Venster (dialoog)” of “Formulier”,  
     NIET “Direct uitvoeren” / “Snelle afhandeling”.  
4. Tab Opties / Reactie:  
   • Reactie geven: Verplicht in InSite (dit had je al goed staan).  
5. Opslaan en de workflow opnieuw publiceren.  
6. Laat de gebruiker InSite verversen (Ctrl-F5).  

Resultaat  
• Zodra de gebruiker op Afhandelen klikt, opent er nu altijd een pop-up met het reactieformulier.  
• Het veld Reactie is verplicht; zonder invoer kan de gebruiker niet opslaan.  
• Er is dus geen extra klik op het wolkje meer nodig.

Reageren via het “wolkje” uitschakelen?  

Het reactie-icoon wordt getoond zolang een gebruiker het recht “Reageren” op workflowtaken heeft.  
Wil je voorkomen dat men losse reacties kan toevoegen en alleen via de actie mag reageren, dan kun je dat recht intrekken:

Beheer → Autorisatie → Groepsrechten → Workflowtaak  
• Recht “Reageren”: zet op “Geen”.  
Gebruikers kunnen dan nog wel reageren in de dialoog bij het uitvoeren van de actie (dat recht valt onder “Uitvoeren”), maar niet meer via het wolkje in het leesscherm.

Let op: het recht geldt voor álle workflowtaken waarop de gebruiker toegang heeft. Een fijnmazige instelling per workflow bestaat op dit moment niet."
54,"Beste [naam klant],

Sinds update 2022-(x) heeft AFAS een extra AVG-maatregel toegevoegd: standaard wordt het kopiëren van (mogelijk) privacy-gevoelige velden naar het Windows-klembord geblokkeerd. Hierdoor kun je o.a. adres-, telefoon- en BSN-velden niet meer met Ctrl-C/Ctrl-V kopiëren naar een ander programma. 

Hoe los je dit op?

1. Controleer of er bewust is gekozen om kopiëren te blokkeren  
   Beheer > Omgeving > Instellingen > Privacy & Beveiliging ▸ optie ‘Kopiëren naar klembord blokkeren’.  
   • Staat dit vinkje aan? Zet het uit en start Profit opnieuw.  
   • De wijziging geldt voor alle gebruikers in de omgeving.

2. Autorisatierecht ‘PF_CLP – Persoonsgegevens kopiëren’  
   In plaats van de globale instelling kun je ook per rol/groep regelen wie wél mag kopiëren.  
   Beheer > Autorisatie tool  
   • Zoek naar het recht/taak: ‘Persoonsgegevens naar klembord kopiëren’.  
   • Zet dit recht op de gewenste gebruikers(groepen).  
   • Laat de gebruikers opnieuw inloggen nadat het recht is toegevoegd.

3. Test daarna meteen  
   Open bijvoorbeeld een medewerkerkaart, selecteer het adresveld en gebruik Ctrl-C → Ctrl-V in Word/Kladblok. Werkt dit weer, dan is het probleem opgelost.

4. Blijft kopiëren nog steeds geblokkeerd?  
   • Controleer of je via Remote Desktop / Citrix werkt; in sommige omgevingen wordt het klembord centraal uitgeschakeld.  
   • Kijk of er lokale beveiligingssoftware (clipboard manager, DLP-tooling) actief is die kopiëren verhindert.  
   • Laat eventueel Profit opnieuw installeren; bij een onvolledige update kunnen de Profit-shell extensies voor het klembord ontbreken.

Samenvatting  
De nieuwe blokkade is een standaard beveiligingsinstelling sinds de ‘belangrijke update’. Door deze instelling uit te zetten óf door het autorisatierecht ‘Persoonsgegevens kopiëren’ toe te kennen, kun je weer gewoon Ctrl-C/Ctrl-V gebruiken.

Laat me weten of het hiermee is opgelost of dat je nog hulp nodig hebt.  

Met vriendelijke groet,  
[uw naam]  
AFAS Servicedesk"
55,"Hieronder vind je stap-voor-stap hoe je  
1. een (afgeschermde) Finance-pagina maakt, én  
2. daarop een takenlijst plaatst waarin alle declaraties verschijnen die in de workflow op de groep ‘Finance’ worden gezet.

Daarna vind je links naar de officiële help-pagina’s waarop de stappen uitgebreider beschreven staan.

----------------------------------------------------
1. Finance-pagina maken
----------------------------------------------------
1.1. Maak (of controleer) eerst de gebruikersgroep ‘Finance’.  
   Beheer ➔ Autorisatie tool ➔ Gebruikersgroepen.  
   Voeg de collega’s van Finance toe.

1.2. Sitebeheer ➔ Site onderhouden ➔ Pagina’s.  
   • Kies ‘Nieuwe portalpagina’.  
   • Naam: “Finance”.  
   • Type: kies ‘Lege pagina’ (of kopieer een bestaande, dat mag).  
   • Selectie: kies hier direct de gebruikersgroep ‘Finance’.  
     – Hiermee zie alléén deze groep de pagina.  

1.3. Sla de pagina op. Er opent nu de paginabouwer.

----------------------------------------------------
2. Takenlijst op de pagina plaatsen
----------------------------------------------------
2.1. Klik in de paginabouwer op ‘+ Blok toevoegen’.  
   • Kies het bloktype ‘Workflow – Takenlijst’ (in sommige versies heet het ‘Mijn taken’ of ‘Taken’).  

2.2. Instellingen van het blok:  
   • Kies ‘Type weergave’: Taken (niet ‘Documenten’).  
   • Kies eventueel ‘Alle workflows’, of filter op ‘Declaratie (Expense)’.  
   • Toon kolommen: Onderwerp, Aanvraag­datum, Aanvrager, Bedrag, etc.  
   • Sorteer op ‘Vervaldatum’ of ‘Ontvangstdatum’.

2.3. Opslaan ➔ Pagina publiceren.

Op het tabblad ‘Rechten’ hoef je verder niets te doen, omdat je de pagina al op de groep Finance hebt gezet; taken die in de workflow aan de groep Finance zijn toegewezen verschijnen automatisch.

----------------------------------------------------
3. Workflow controleren
----------------------------------------------------
Ga in Profit naar:  
Workflowbeheer ➔ Workflow ➔ Declaratie.  
• Controleer in de stap ‘Beoordelen/Goedkeuren’ dat de eindbestemming het type ‘Gebruikersgroep’ is en dat hier ‘Finance’ staat.  
• Zet ‘Te tonen in InSite’ op ‘Ja’.

Zodra een medewerker een declaratie indient, wordt de workflowtaak aan de groep Finance toegewezen en komt die in het blok ‘Workflow – Takenlijst’ terecht.

----------------------------------------------------
4. Veelvoorkomende vragen
----------------------------------------------------
• “Ik zie toch geen taken.”  
   – Controleer of je zelf lid bent van de groep Finance.  
   – Kijk of de declaratie daadwerkelijk de beoordelingsstap heeft bereikt.  

• “We willen ook andere taken tonen.”  
   – Laat in het blok de filter leeg (alle workflows) of maak meerdere blokken naast elkaar (bijv. “Declaraties”, “Inkopen”, “Mutaties”).  

• “Kunnen we kolommen aanpassen?”  
   – Ja: open het blok ➔ Tabblad ‘Kolommen’ ➔ vink aan/uit wat je wilt tonen.

----------------------------------------------------
5. Links naar de help-pagina’s
----------------------------------------------------
(Je moet hiervoor ingelogd zijn op help.afas.nl)

1. Pagina maken en rechten:  
   https://help.afas.nl/help/NL/SE/Ins_Page_New.htm  

2. Blok ‘Taken’ toevoegen en instellen:  
   https://help.afas.nl/help/NL/SE/Ins_Block_Tasks.htm  

3. Workflow eindbestemming instellen:  
   https://help.afas.nl/help/NL/SE/Wfl_Destgroup.htm  

----------------------------------------------------
Mocht je ergens op vastlopen, geef dan aan in welke stap het misgaat (screenshot + foutmelding), dan denken we verder mee!"
56,"De keuzelijst voor Kenmerk 2 wordt alleen gevuld met waarden die eerder zijn gekoppeld aan de geselecteerde Kenmerk 1-waarde. Omdat je het nieuwe Kenmerk 2 ‘241 Verzuim’ nog niet hebt vastgelegd in zo’n koppeling, blijft de lijst leeg. Handmatig intypen werkt tot je op Voltooien klikt; dan controleert Profit alsnog of de combinatie bestaat en krijg je de foutmelding.

Oplossing  
1. Ga naar CRM / Dossier / Inrichting / Kenmerk 2 per Kenmerk 1 (of: Algemeen / Beheer / Dossier / Kenmerk 2 per Kenmerk 1, afhankelijk van je menu-structuur).  
2. Maak een nieuwe regel:  
   • Kenmerk 1: selecteer de waarde die je bij het dossieritemtype gebruikt.  
   • Kenmerk 2: 241 Verzuim.  
   • Status: Actief.  
3. Opslaan.  
4. Open nu weer het type dossieritem (71 PAK-gesprek).  
5. Voeg de kenmerkcombinatie toe: Kenmerk 1 selecteren → lijst Kenmerk 2 toont nu 241 Verzuim → Voltooien.

Wil je dat ‘241 Verzuim’ voor alle Kenmerk 1-waarden beschikbaar is, leg je voor elke betreffende Kenmerk 1 een regel aan of gebruik je de optie ‘Koppelen aan alle Kenmerk 1’ (indien aanwezig). Daarna kun je het dossieritemtype probleemloos opslaan."
57,"Hoi Mario,

Dank voor je melding.

Wat je ervaart is het ‘normale’ gedrag van het product:

1. Wanneer je de optie ‘Starten in aanpassen’ aanzet, wordt het dossieritem eerst in conceptstatus (= ‘Aanpassen’) aangemaakt.  
2. In deze status staat het item nog volledig bij de initiator en is de verdere route (de “Bestemming”) nog niet bepaald/weggezet in de database.  
3. Pas op het moment dat de gebruiker op ‘Versturen’ klikt, krijgt de workflow zijn eerste échte stap, worden de actoren (bestemming) gevuld en kan InSite ze tonen.  
4. Omdat de bestemmingsvelden bij de conceptstatus leeg zijn, is er op het dossieroverzicht dus niets om weer te geven, waardoor het lijkt alsof de bestemming “verdwijnt”.

Zet je ‘Starten in aanpassen’ uit, dan wordt een dossieritem direct in de eerste workflow-stap geplaatst en wordt de bestemming meteen vastgelegd – en zie je deze dus wel in het overzicht.

Wat kun je doen?

•  Wil je de bestemming tóch vooraf laten zien? Dan is er op dit moment geen instelling om dat in combinatie met ‘Starten in aanpassen’ mogelijk te maken; de workflow moet eerst worden ‘verstuurd’.  
•  Je kunt overwegen het vinkje uit te laten en in plaats daarvan een eerste stap te maken waarbij de initiator “terug kan sturen naar zichzelf” als hij nog wil wijzigen.  
•  Of zet boven in het dossieroverzicht een kolom ‘Status’ / ‘Actuele actor’ zodat gebruikers zien dat het item nog “In bewerking (eigen)” staat.

We registreren jouw verzoek als wens zodat productmanagement kan bekijken of we in de toekomst de bestemming al in de conceptstatus zichtbaar kunnen maken.

Mocht je nog vragen hebben, laat het gerust weten.

Met vriendelijke groet,

[naam]  
AFAS Helpdesk"
58,"Dag Jans,

Dank voor je duidelijke uitleg en de bijlagen. Ik zet hieronder puntsgewijs uiteen wat er vermoedelijk gebeurt, waarom de vervanger niet wordt vastgelegd en welke stappen je kunt nemen om dit snel op te lossen.

1. Wat gebeurt er door de foutmelding?  
   • De foutmelding geeft aan dat de mutatie (verlofboeking + aanwijzen vervanger) niet wordt weggeschreven in Profit/HRM.  
   • Omdat de mutatie niet definitief wordt opgeslagen, wordt de koppeling met Samenwerken (waarnemer-gegevens) ook niet aangemaakt. Je ziet dus geen vervanger in het tabblad Samenwerken.  
   • De verlofboeking zelf kan soms wél worden weggeschreven terwijl alleen het koppelrecord voor de vervanger faalt. Dat verklaart waarom je het verlof ziet, maar geen vervanger.

2. Mogelijke oorzaken voor de foutmelding  
   • De tijdelijke vervanger heeft op (één van) de gekozen datums geen actieve arbeidsrelatie of er is geen geldige profielfunctie.  
   • Het recht “Tijdelijk vervanger” staat niet (meer) aangevinkt in de autorisatiegroep van de opgegeven vervanger.  
   • De ingerichte workflow “Afwezigheid en vervanging” bevat een business-rule die wordt geschonden (bijv. overlapping, maximumduur of ontbrekende autorisatie).  
   • In enkele omgevingen is een bug aanwezig in Profit 20xy.3/4 waarbij een mutatie met zowel “verlof” als “waarnemer” wordt afgevangen door de validatie op de entiteit AbsenceRequest. Dit is door Afas in fixset 30806 opgelost.

3. Hoe kun je controleren wat precies de fout is?  
   a. Ga naar HRM ➞ Beheer ➞ Logbestand mutaties (of Menupad: Algemeen ➞ Beheer ➞ Log).  
   b. Filter op de datum/tijd van jouw handeling en op het dossiernummer van de werknemer.  
   c. Open de regel; onder Details staat meestal de technische validatie (“EmployeeNotActive”, “SubstituteNotAuthorized” enz.).  
   d. Vergelijk de datums van het verlof met de contractstart- en einddata van de vervanger.

4. Oplossing/Work-around voor nu  
   Optie A – Fout direct oplossen:  
   • Corrigeer eerst de oorzaak (actieve arbeidsrelatie, autorisatie, bugfix) en boek daarna de verlofperiode opnieuw met dezelfde vervanger.  
   • Controleer vervolgens onder HRM ➞ Medewerker ➞ Samenwerken of de vervanger nu zichtbaar is.

   Optie B – Handmatige waarneming als tijdelijke fix:  
   • HRM ➞ Organisatie ➞ Waarneming ➞ Nieuw.  
   • Kies “Waarnemer voor verplichting (fiattering)” en de periode van X t/m Y.  
   • Selecteer de vervanger; sla op.  
   • Zo worden de facturen van Alons direct doorgestuurd naar de vervanger, ook al staat de verlofboeking nog niet perfect.

   Optie C – Autorisatieroute omleiden (alleen voor facturen):  
   • Financieel ➞ Inrichting ➞ Autorisatieroute verplichtingen ➞ Zoek route met Alons.  
   • Voeg tijdelijke extra goedkeurder toe voor periode van afwezigheid.  
   • Vergeet niet dit later weer terug te draaien.

5. Facturen die nu “blokkeren”  
   • Navigeer in InSite of Profit naar de openstaande verplichtingen van Alons (Menupad: Financieel ➞ Verplichtingen ➞ Nog te accorderen).  
   • Klik op “Wijzig goedkeurder” indien geautoriseerd en verwijs handmatig door naar de toegewezen vervanger.  
   • Als jij/fin-beheer niet voldoende rechten hebt, kun je dit via de autorisatieroute zoals boven beschreven oplossen.

6. Samenvatting te ondernemen actie  
   1. Bekijk de exacte validatiefout in het log.  
   2. Controleer actieve dienstverband- en autorisatierechten van de vervanger.  
   3. Corrigeer dit of installeer fixset 30806 als het om de bekende bug gaat.  
   4. Herboek het verlof of maak handmatig een waarneming aan zodat de facturen niet blijven hangen.  

Mocht je vóór 16:00 uur nog hulp nodig hebben, bel me gerust even (ik ben tot 17:30 uur bereikbaar). Anders pak ik het morgenochtend op zodra er duidelijkheid is over de foutcode uit het log.

Beterschap met je ingreep straks en we zorgen dat de facturen van Alons niet blijven liggen.

Met vriendelijke groet,

[Naam]  
Functioneel Beheer HRM/Financiën"
59,"Goedemiddag,

Vervelend dat de functie ‘Herb. cumulatieven’ niet meer reageert. Onderstaand vindt u een aantal punten die u meteen kunt controleren, plus een paar aanvullende vragen. Hoe meer informatie we hebben, hoe gerichter we kunnen helpen.

1. Controleer de basisinstellingen  
   • Versie/patch-niveau: Is na januari een nieuwe release of hotfix geïnstalleerd? Zo ja, welke versie draait u nu (menu Help > Info)?  
   • Gebruikersrechten: Is uw gebruikersgroep nog steeds gekoppeld aan de taak “Herberekenen cumulatieven”? (Beheer > Autorisatie)  
   • Pop-up/meldingen: Het scherm wordt soms als zwevend venster geopend. Staat er niets geminimaliseerd in uw taakbalk of achter andere vensters?

2. Test in een andere omgeving  
   • Open de administratie in een test- of historie-administratie en probeer daar ‘Herb. cumulatieven’. Werkt het daar wél, dan zit het vermoedelijk in de data of in de gekoppelde koppelingen binnen deze specifieke administratie.  
   • Probeer in te loggen met een collega-account / ADMIN-account om rights- of profielproblemen uit te sluiten.

3. Logbestanden en meldingen controleren  
   • Kijk onder Systeem > Logboeken of er foutcodes verschijnen wanneer u de optie start.  
   • Event Viewer (Windows) kan eveneens applicatie-fouten of .NET-crashes laten zien als het venster in de achtergrond crasht.

4. Database-onderhoud  
   • Voer een integriteitscontrole en indexherstel (Compact/Repair) uit op de database.  
   • Loop daarna de standaard onderhoudstaken door: herindexeer, controleer ongeldige boekingsregels, enz.

5. Cache en lokale instellingen  
   • Sluit het programma, verwijder de tijdelijke mappen in %APPDATA%\[UwSoftware] of via Instellingen > Cache wissen.  
   • Start opnieuw op en test nogmaals.

6. Laatste redmiddel: herinstallatie client  
   • Download de meest recente installer van de leverancier.  
   • Verwijder de client (database blijft intact), installeer opnieuw, log in en probeer de taak.

Aanvullende vragen
A. Gebeurt er letterlijk niets (geen foutmelding) of flitst er kort een schermpje?  
B. Treedt het probleem op in alle administraties of slechts in één specifieke?  
C. Kunt u zich herinneren of er in januari bij de vastloper een herstelactie (bijv. hard afsluiten, DB-roll-back) is uitgevoerd?  
D. Ziet u in het logbestand (Help > Overzicht logs) een foutregel met “SQL Timeout”, “Access violation”, “OutOfMemory” of iets dergelijks?

Mocht u de bovenstaande checks hebben doorlopen en het probleem blijft bestaan, stuur dan s.v.p. de volgende gegevens mee:
• Screenshot van het versienummer (Help > Info)  
• Een export van het systeemeventlog rond het moment dat u de taak start  
• De betreffende administratie-backup (alleen als u dat veilig kunt delen) of minimaal een foutlog

Dan kunnen we gericht analyseren of het een script/trigger-fout is of een corruptie in de cumulatieve velden.

Laat ons weten welke stappen u al heeft geprobeerd en wat het resultaat was, dan pakken we het verder op!

Met vriendelijke groet,

[Uw Naam]  
Afdeling Support"
60,"Hieronder vind je eerst de verklaring voor  
a) de foutmelding ‘Kan de waarde van de parameter niet opslaan; overlapt met een andere parameterwaarde’  
b) het verschil in gedrag (4 mutaties wél naar de PSA, de rest niet)  

daarna enkele concrete adviezen hoe je het oplost/voorkomt.

1. Waarom maar 4 adreswijzigingen in de workflow ‘Salarisadministratie goedkeuren’ vallen  
• Bij het opslaan van een adreswijziging bepaalt Profit/HRM welk ‘Workflow-parameterrecord’ geldig is op de INGANGSDATUM van de mutatie.  
• Blijft het bestaande parameterrecord geldig t/m 31-12-2099 en voeg je daaronder een nieuw record toe met start 01-04-2025, dan overlappen beide regels vanaf 01-04-2025 en krijg je de fout.  
• Veel functioneel beheerders lossen dit op door de oude regel te laten doorlopen en daarin alleen de workflow stap te veranderen. Jullie hebben echter een tweede regel aangemaakt (met dezelfde periode) en daardoor ontstaat de overlap.  
• Na de foutmelding lijkt het soms alsof het record is weggeschreven, maar Profit gebruikt dan alsnog de “oude” regel (zonder PSA-goedkeuring) zolang er overlap is. Daardoor komen de meeste mutaties nog steeds automatisch door.

2. Het patroon – 4 wél, 30-46 niet  
Waarschijnlijk hebben de 4 mutaties:  
• een ingangsdatum op of ná 01-04-2025 én  
• ze zijn geboekt nadat het nieuwe parameterrecord (of de aanpassing in het bestaande record) wel correct opgeslagen was.  
De resterende ca. 40 mutaties hebben óf een ingangsdatum vóór 01-04-2025 óf zijn ingediend terwijl de overlapfout nog bestond. Daardoor is daar het oude (auto-approve) record gebruikt.

3. Wat moet je doen?  
Stap 1. Controleer de bestaande parameterrecords  
  a. Ga naar:  
     Beheer ➜ Inrichting ➜ HRM ➜ Workflowkoppeling (of: Algemeen ➜ Instellingen ➜ Workflowkoppeling)  
  b. Zoek de regel(s) voor datagroep ‘Adres’ (of jullie eigen code).  
  c. Kijk naar begindatum en einddatum.  

Stap 2. Corrigeer de periodes – 2 opties  

Optie 1: Eén regel houden  
  • Pas in het bestaande record de workflow aan (laat begin 01-01-1900, eind 31-12-2099 staan).  
  • Alle nieuwe mutaties gaan dan meteen via de PSA; eerder aangemaakte mutaties blijven in hun oorspronkelijke (oude) workflow hangen, die rond je handmatig af.

Optie 2: Twee regels zonder overlap  
  • Regel 1 (historisch): begin 01-01-1900, eind 31-03-2025, Workflow = Auto-approve.  
  • Regel 2 (nieuw): begin 01-04-2025, eind 31-12-2099, Workflow = PSA-goedkeuring.  
  • Let op: je moet eerst de einddatum van regel 1 opslaan (zodat de overlap verdwijnt) en daarna pas regel 2 toevoegen.

Stap 3. Controleer of “Wijziging terugleggen” nog nodig is  
  • Mutaties die al in de oude workflow zitten kun je afronden of, als ze nog niet verwerkt zijn, verwijderen en opnieuw indienen zodat ze in de nieuwe workflow vallen.

4. Moet je steeds een nieuwe workflow maken?  
Nee. Je kunt:  
• óf dezelfde workflow-ID blijven gebruiken en alleen stappen toevoegen/wijzigen;  
• óf een nieuwe workflow klonen (aan te bevelen als je grote proceswijzigingen wilt testen zonder productie te raken).  
Belangrijk is dat er per periode maar één geldige parameterkoppeling is.

5. Samenvatting / checklist  
✓ Oude parameterregel: einddatum invullen (31-03-2025).  
✓ Nieuwe parameterregel: startdatum 01-04-2025, einddatum open.  
✓ Geen overlappende periodes = geen foutmelding.  
✓ Ingangsdatum mutatie bepaalt welke workflow gekozen wordt.  
✓ Bestaande mutaties wisselen niet automatisch van workflow.

Mocht het na deze aanpassing nog steeds voorkomen dat mutaties in de verkeerde workflow belanden, noteer dan: medewerker, ingangsdatum, aanmaakdatum formulier en stuur dat mee; dan kunnen we exact zien welk parameterrecord is gebruikt."
61,"Beste …,

Onderstaand een aantal controles / acties die u kunt uitvoeren om te achterhalen waarom Kasper Immink de melding ‘Geen toegang tot deze gegevens in de site’ krijgt bij de tegel Materieelbeheer → Project Opleggers.

1. Controleer het autorisatieprofiel (Profit)  
   • Open Profit → Algemeen → Beheer → Autorisatie → Autorisatie-profielen.  
   • Zoek het profiel waar Kasper onder valt.  
   • Ga naar tabblad Functierechten en filter op:  
     – Module: Materieelbeheer / Fleetmanagement  
     – Schemarechten:  
       • Materieel (FMObject)  
       • Materieeltype / Serie (FMTYPE)  
     • Controleer of de rechten MIN. ‘Bekijken’ (of ‘Alle’ bij datagehilterde schermen) bevat.

2. Controleer eventuele gegevens-filters (Gegevensfilter / Object-weergave)  
   • In Profit: Algemeen → Beheer → Autorisatie → Gegevensfilters.  
   • Zoek op doelgroep “Materieel” of “Project Opleggers”.  
   • Als er een filter op bijvoorbeeld ‘Eigen bedrijf’ of ‘Eigen cost-centre’ actief is, kan Kasper buiten de filter vallen.  
   • Vergelijk het filter met uw eigen account (u heeft wél toegang).  

3. Groepslidmaatschappen in InSite  
   • Open InSite → Beheer → Autorisatie.  
   • Controleer in welke InSite-gebruikersgroepen Kasper zit en of die groepen gekoppeld zijn aan de bovengenoemde Profit-autorisatieprofielen.  
   • Let op dat de groep ‘Fleetmanagement – Materieelbeheer’ soms apart is toegewezen voor ‘Bekijken/Muteren’.

4. Controle binnen de weergave (InSite-siteonderdeel)  
   • In InSite → Sitebeheer → Navigatie.  
   • Open de tegel ‘Materieelbeheer’ → ‘Project Opleggers’.  
   • Kijk op tabblad Beveiliging → Autorisatie.  
   • Staat de weergave op ‘Overnemen van bovenliggende’? Zo niet, is Kasper hier expliciet uitgesloten?

5. Caching / herindexeren  
   • Nadat rechten of filters zijn aangepast:  
     – Profit: Acties → (her)bouw menu.  
     – InSite: Portalcache leegmaken (Beheer → Opties → Cache leegmaken) of kort uit- en inloggen.

6. Overige checks  
   • Controleer of er recent een update/patch is uitgevoerd (kan rechten resetten).  
   • Vraag één andere ‘niet-beheer’ gebruiker om hetzelfde onderdeel te openen; zo weet u of het persoons-specifiek of profiel-specifiek is.  
   • Als de melding in de log terug te vinden is (Profit → Algemeen → Beheer → Logbestanden → InSite), noteer dan het exacte objectnummer dat geweigerd wordt.

Kunt u bovenstaande punten nalopen en ons laten weten bij welke stap het verschil zichtbaar wordt? Dan kunnen we gericht aanpassen of, indien nodig, meekijken op afstand.

Met vriendelijke groet,

[Uw naam]  
AFAS Support"
