Kenmerk,Onderwerp,Toelichting
HRM,[Journaalpost] Grootboekrekening Te betalen loonheffing komt niet overeen met wat er daadwerkelijk afgedragen wordt in de loonaangifte,"Probleembeschrijving: Nog reageren op call nummer 2334664 Aanvullende details: - Waar loop je precies tegenaan? - verschil LH aangifte en aansluiting journaalpost - Kun je meer details geven over call nummer 2334664, zoals de inhoud of het probleem dat besproken wordt? - Graag contact met Tristan Muijs die deze call had opgepakt. We waren nog bezig met uitzoeken, en ik wil daar nog op reageren."
HRM,[Wens] Afwijkende medewerkerscode kan niet aangepast worden via beoordelingspagina bij Onboarden,"Probleembeschrijving: In het oude proces van Medewerker indienst -15 stond het veld 'Afwijkende medewerkerscode' bij het beoordelen op zichtbaar en wijzigbaar. Hierdoor was het mogelijk om een 'afwijkende medewerkerscode' bij het beoordelen in te vullen. In het nieuwe onboardingsprofiel hebben we dezelfde instelling overgenomen in het beoordelingsprofiel. Het resultaat is dat het veld zichtbaar is, maar niet wijzigbaar (zie bijlagen). In een eerdere Profit versie zat een fout in de software omtrent dit veld. Dit was opgelost in Profit 5 (zie opgeleverde POA 430604 Onboarden - Afwijkende medewerkerscode - AFAS Help Center https://help.afas.nl/poa/poa_430604?query=medewerkerscode). Is misschien de werking nog steeds niet correct? We hebben al geprobeerd om het veld zowel in het aanmaak- als beoordelingsprofiel zichtbaar + wijzigbaar te maken. Maar dit heeft niet het gewenst effect. Work-around is om achteraf (als de medewerker geregistreerd is) de medewerkerscode te wijzigen via de actie in Profit. Maar we willen dit graag in de workflow oplossen zodat direct de juiste medewerkerscode wordt verspreid binnen de organisatie. Aanvullende details: - Kun je precies aangeven welke instellingen je hebt toegepast in het beoordelingsprofiel voor het veld 'Afwijkende medewerkerscode'? - In de context van de medewerker voor het beoordeel profiel bij een nieuwe medewerker staat dit veld op zowel ""Zichtbaar"" als ""Wijzigbaar"" - Sinds wanneer speelt dit probleem in de nieuwe onboardingsprofiel? - sinds we het live hebben gezet - Kun je bevestigen of de fout in Profit 5 (POA 430604) daadwerkelijk is opgelost in jouw omgeving? - Nee die is niet opgelost"
HRM,[Analyse] Analyse met een overzicht reserveringen vakantietoeslag,"Probleembeschrijving: Goedemorgen, ik wil heel graag een totaalp-overzicht hebben van het saldo vakantiereservering per 31-12-2024 gespecificeerd per medewerker, hoe kan ik dit overzicht krijgen. Ik heb al via de vakantietoeslag analyse geprobeerd, maar daar kom ik niet uit. Ook niet met behulp van de helptekst. Graag uw hulp. Danielle Veddes 0630410302 Geen aanvullende vragen gesteld."
ERP,"[Factuurnummers] Gaten in inkoopfactuurnummering / Ontbrekende inkoopfactuurnummers KF250006226, KF25000632 en KF250006258","Probleembeschrijving: Goedemorgen, In Profit hebben we een controle gedaan op de nummering van de inkoopfacturen. Wat we zien is dat er in maart drie facturen of factuurnummers ontbreken. Het betreft de volgende nummers: KF250006226, KF25000632 EN KF250006258. In de logging van Profit zie ik dat deze facturen niet verwijderd zijn. Vraag is wat er dan wel gebeurd is. Zouden jullie na kunnen kijken wat er terug te vinden is van deze drie inkoopfacturen/factuurnummers? Navraag bij Filelinx heeft geen resultaat opgeleverd. De correspondentie heb ik toegevoegd. Misschien kunnen jullie zien of er iets bijzonders is gebeurd, waardoor de factuurnummers ontbreken. Mijn inziens zijn de facturen niet verwijderd in Profit. Bij voorbaat dank. Mvg, Ronald Aanvullende details: - Kun je aangeven welke stappen je hebt doorlopen om de controle uit te voeren? - Vaststelling verschil nummering op basis van de financiële mutaties. Logdata: - omgeving, logboek en connector bekeken. Geen bijzonderheden. Logboek: logging op verwijderen dossieritem staat aan; vaststelling dat het factuurnummer niet heeft bestaan in Profit. - Kun je bevestigen of de ontbrekende factuurnummers ooit zijn aangemaakt in Profit? - Nee, zijn niet aangemaakt volgens mijn bevindingen. - Kun je toelichten of er specifieke wijzigingen zijn doorgevoerd in Profit of Filelinx die mogelijk invloed hebben gehad op de nummering? - Geen wijzigingen."
ERP,"[verzamelfactuur] Automatisch factureren in administratie 7 genereert geen factuur, geen journalisering.","Probleembeschrijving: Hallo, Gisteravond en zojuist heb ik 2 abonnementsfacturen proberen te versturen vanuit administratie 7, via: Uren/declaraties > Declaratie > Abonnementsfacturen > 4. Automatisch factureren Administratie 7 > Peildatum 07-04-2025 > factuurdatum 07-04-2025 Alle vinkjes aan Volgende> Abonnementen factureren de betreffende regel aangevinkt (Dietistenpraktijk Zwijndrecht > April > Bring Cargo B.V. / project DietZwijndrecht. Echter, is de regel niet zichtbaar in het het abonnementsfacturen overzicht. Het ziet er naaruit dat deze niet verstuurd is. Tevens is deze niet gejournaliseerd. Ik kan periode 4 nu niet opnieuw belasten, want zodra ik opnieuw de abonnementfacturen automatisch wil factureren, is deze periode niet langer beschikbaar. Ook is er geen openstaande post gecreeerd. In de wachtrij, staat alle als succesvol voltooid. Zie bijgaande screenshot. Aanvullende details: - Waar loop je precies tegenaan? - Na automatisch factureren, wordt er geen factuur gemaakt, verzonden en gejournaliseerd. - Wat is de gewenste situatie? - De factuur zou in het overzicht terecht moeten komen, verstuurd moeten worden aan de klant, een journaalpost zou gemaakt moeten worden en de factuur moet als openstaande post zichtbaar zijn. - Welke stappen doorloop je? Voeg hierboven een bijlage toe van het scherm waarin je je bevindt. - Uren/declaraties > Declaratie > Abonnementsfacturen > 4. Automatisch factureren Administratie 7 > Peildatum 07-04-2025 > factuurdatum 07-04-2025 Alle vinkjes aan"
ERP,"[e-factuur] Factuur is via e-factuur ingeboekt, maar niet zichtbaar voor betaling.","Probleembeschrijving: Onze financiele man is ziek en wij komen er niet helemaal uit. Wij hebben een openstaande factuur staat bij crediteur niet in openstaande posten ook niet in geblokkeerde facturen, nog te beoordelen facturen, overzicht lijst openstaande saldo crediteur. Komt niet te voorschijn bij betaalopdracht maar factuur is nog niet betaald. HOe krijg ik de factuur zichtbaar en kan ik hem betalen. Aanvullende details: - Kun je aangeven of de factuur in het systeem is ingevoerd en hoe dit precies is gedaan? - via e-factuur is de factuur ingeboekt - Is er een specifieke foutmelding of afwijking zichtbaar wanneer je probeert deze factuur te vinden? - geen foutmelding - Hebben jullie recent wijzigingen aangebracht aan de instellingen van het financiële systeem die mogelijk invloed kunnen hebben op zichtbaarheid van gegevens? - nee geen wijzigingen"
ERP,Import itemcode inkooprelatie,
ERP,Monitoren op contractverlenging workflow die te lang open staat,- Signaal bij nieuwe reactie - Statusmail - Signaal voor workflows die te lang open staan
ERP,Zoekweergave artikelen bij inkoopaanvraag,
ERP,Artikelgroepen onderhouden OCI-profiel,
ERP,Rapport inkooporder - itemcode inkooprelatie toevoegen,
HRM,[Loonaangifte] xml bestand loonaangifte,"Probleembeschrijving: Wij zitten met een verzekering bij Centraal Beheer. Elke maand lezen wij daar het XML bestand van de loonaangifte in. Op deze manier heeft de verzekering de juiste gegevens. In Afas kan ik geen XML bestand vinden van de loonaangifte. Aanvullende details: - Kun je precies aangeven waar je zoekt in AFAS voor het XML-bestand van de loonaangifte? - Bij de aangiftes, maar hier zie ik alleen betaalbestanden en overzichten. - Heb je eerder een XML-bestand van de loonaangifte uit AFAS kunnen verkrijgen? - Nee. tot januari 2025 werkt wij in Loket, hier kan ik wel elke maand een XML bestand downloaden. - Kun je aangeven welke stappen je hebt doorlopen om het bestand te vinden? - Gezocht bij de aangiftes en gezocht op HELP. Ik zie wel een bestand over een XML bestand, maar ik kom hier niet uit."
ERP,[Belafspraak 15-04 15:00] Afleveradres wordt niet automatisch overgenomen uit voorcalculatie bij bestelvoorstel.,"Probleembeschrijving: Helpartikel https://help.afas.nl/help/NL/SE/Purchs_Order_Prop_SuppToLoc.htm?query=direct%20leveren is niet correct. Hierin wordt gesteld dat het afleveradres dat gevuld is in de voorcalculatie wordt overgenomen bij het bestelvoorstel. De projectlocatie wordt echter overgenomen. Als ik de voorcalculatie niet aan een project koppel maar wel een afleveradres in de kop vul, dan blijft deze leeg. Het zou wenselijk zijn dat het afleveradres wordt overgenomen uit de kop van de voorcalculatie, echter gebeurt dit niet. Aanvullende details: - Wat is precies het verschil tussen de huidige situatie en de gewenste situatie? - In de huidige situatie moet in de inkooporder alsnog het afleveradres handmatig gevuld worden. Dit terwijl je op basis van het artikel verwacht dat dit automatisch gebeurd. - Kun je bevestigen of het probleem consistent optreedt, ongeacht de specifieke voorcalculatie? - Ja dit komt consistent naar voren - Heb je al geprobeerd om het afleveradres handmatig in te vullen na het genereren van het bestelvoorstel? - Ja, echter is dit weer een handmatige handeling welke je wilt elimineren."
ERP,"[Facturen | verzonden mail | mailserver] Facturen zijn niet ontvangen door klant sinds 2025, controleer mailserver.","Probleembeschrijving: Hi, Wij hebben een aantal facturen die door de klant niet is ontvangen. Wij hebben alles gecontroleerd en deze zouden eigenlijk verzonden en ontvangen moeten zijn bij de klant. Zouden jullie hier in de mailserver kunnen kijken of er toch iets fout is gegaan? Betreft: Newtone gestuurd naar crediteuren@newtone.nl V08250361 V08250362 V08250363 V08250364 V08250365 V08250366 V08250367 V08250370 V08250357 V08250358 V08250359 Aanvullende details: - Kun je aangeven sinds wanneer de klant deze facturen niet ontvangt? - Sinds 2025 ontvangt deze klant niet alle facturen. - Hebben jullie gecontroleerd of het e-mailadres crediteuren@newtone.nl correct is en actief gebruikt wordt door de ontvanger? - Ja deze is actief en alle andere mailing komt binnen. - Zijn er foutmeldingen ontvangen bij het verzenden van deze facturen via jullie systeem, zoals bounceberichten of andere indicaties dat ze niet zijn afgeleverd? - Geen foutmeldingen of bounce berichten."
ERP,Verschil tussen berekende gedeelte salarisverwerking en loonaangifte in Aansluiting financieel,Probleembeschrijving: Op het rapport aansluiting financieel blijf ik ieder maand verschil houden terwijl dat voorheen altijd goed ging. Aanvullende details: - Waar loop je precies tegenaan? - verschil in aansluiting - Sinds wanneer speelt dit? - al in 2024 alleen omdat dit overzicht cumulatief is kan ik niet precies zeggen welke maand. - Tot wanneer werkte het nog wel? Is er sindsdien iets gewijzigd/aangepast? Wat is er vanaf dat moment veranderd? - al in 2024 alleen omdat dit overzicht cumulatief is kan ik niet precies zeggen welke maand.
HRM,[Nacalculatie] Verlofsoorten inrichten (verlof naar nacalculatie),Probleembeschrijving: URGENT! Wij willen het verlof en verzuim 2025 in beeld dus we kijken in Projecten->Nacalculatie>Overzicht Nacalculatie en daar staat niet iedereens verlof bij. Ik kijk dan bijv. in de standaard weergave Nacalulatieo overzicht excl. autorisatie van AFAS. Rara hoe kan dat? Van sommige is feitelijk verlof geboekt maar het is hier niet terug te vinden. We hebben die info vandaag nodig dus ik hoor uw tip graag asap. Aanvullende details: - Welke specifieke medewerkers missen verlof in het overzicht? - Bij 66743.RBE en 66743.AMO - Is het verlof van deze medewerkers wel correct geboekt in het systeem? - ja - Heb je gecontroleerd of de standaard weergave 'Nacalculatie overzicht excl. autorisatie' de juiste filters bevat om alle verlofgegevens te tonen? - Ja er zijn geen filters
ERP,[Workflow] Delegeren en terughalen van inkoopfacturen,"Probleembeschrijving: Beste Dennis, Even een vraag...... Bij het beoordelen van een inkoopfactuur krijgen we ""ineens"" een actie ""terughalen"", zie bijlage Workflow - terughalen. Wat er precies door de gebruiker is gedaan, kan ik niet goed achterhalen. Maar als ik in het overzicht van de workflowhistorie kijk op insite zie ik dat de budgethouder een vraag heeft gesteld, zie bijlage image.png. Ik vermoed dat op dit moment dan de workflow doorgaat naar terughalen. Ik vermoed dat de vraag niet is aangekomen bij de besteller....... Als dit wel goed zou gaan, waar zouden wij dan de vraag kunnen zien of in ieder geval de communicatie tussen partijen in de gaten kunnen houden. gr. Ingrid Aanvullende details: - _Waar loop je precies tegenaan?_ - workflow loopt niet door - _Welke stappen doorloop je om dit te reproduceren? Voeg een bijlage toe van het scherm waarin je je bevindt._ - - _Wat is de gewenste situatie?_ -"
ERP,"[Transitorische post] Transitorische verdeling selecteert tussenrekening op basis van bedrag, niet grootboekrekening.","Probleembeschrijving: Als we in een boeking een regel transitorische willen verdelen. Dan bepaald het systeem op basis van de inrichting (inrichting bij Financieel / Beheer / Instellingen administratie, zie bijgevoegd bestand) op welke tussenrekening dit gedaan moet worden. Het systeem boekt vervolgens automatisch de verdeling op deze tussenrekening. Ik zou zeggen dat de tussenrekening (kosten / omzet) wordt bepaald op basis van de grootboekrekening die je transitorisch wilt verdelen. Hij blijkt echter te kijken naar de bedrag, dus afhankelijk of het een debet bedrag is of credit bedrag wordt de tussenrekening gekozen. Ik heb in onze testomgeving T86786AA een boeking gemaakt op GBR 5002. Bedrag van 500 debet en tegen geboekt op dezelfde GBR 500 credit (administratie 2 met journaalpostnummer 264094. GBR 5002 is gekoppeld in type rekening 'kosten' (zie bijgevoegd bestand). Ik zou dus verwachten dat zowel het debet bedrag, als het credit bedrag wordt verdeeld op de tussenrekening 'nog te nemen transitorische kosten'. Echter, omdat hij kijkt naar of het een debet of het een credit bedrag is, wordt het debet bedrag nu verdeeld via de tussenrekening 'nog te nemen transitorische kosten' en het credit bedrag wordt nu verdeeld via tussenrekening 'nog te nemen transitorische omzet'. Dat is best bijzonder, omdat we grootboekrekening 5002 werkelijke personeelskosten hiervoor gebruiken. Dit heeft niets met omzet te maken, dus kan ik ook niet volgen waarom de tussenrekening 'nog te nemen transitorische omzet 'wordt gebruikt. Aanvullende details: - Kun je aangeven wat precies de verwachte en gewenste werking is in dit geval? - Dat de juiste tussenrekening wordt gebruikt bij het transitorisch verdelen. - Sinds wanneer ervaar je dit gedrag in het systeem? - Vanaf het begin. - Zijn er recent wijzigingen geweest in de inrichting van de transitorische instellingen? - Nee."
HRM,[Roosterwijziging][Workflow] Geen actieknoppen beschikbaar,Probleembeschrijving: Er is een roosterwijziging ingediend door een leidinggevende. In onze workflow gaat personeelsadministratie het dan controleren en goedkeuren. Echter is alleen de knop aanpassen er en niet goedkeuren. Kan het zijn dat hier een bug zit? Het is namelijk een aantal dagen geleden nog goed gegaan. Aanvullende details: - _Waar loop je precies tegenaan?_ - Ik kan een taak niet doorzetten. - _Sinds wanneer speelt dit?_ - Vandaag - _Tot wanneer werkte het nog wel? Is er sindsdien iets gewijzigd/aangepast? Wat is er vanaf dat moment veranderd?_ - Een paar dagen geleden was alles nog goed. Die workflow is niet aangepast.
ERP,"[Projectboeking / Opbrengst] Projectboeking wordt alleen gemaakt voor kostenrekening, niet voor passiva rekening aan debetzijde, niet voor de omzetrekening aan creditzijde.","Probleembeschrijving: Bij het boekingen van de vrijval van projecten wordt enkel het projectnummer geboekt aan de debetzijde, maar niet aan de creditzijde. In de bijlage heb ik de boekingsinstructie opgenomen en een voorbeeld van een importbestand voor de testomgeving. Aanvullende details: - Kun je precies aangeven welke stappen je volgt bij het boeken van de vrijval van projecten? - zie instructie - Kun je aangeven welke resultaten je verwacht bij het boeken van de vrijval van projecten? - Het project ook geboekt wordt aan de creditzijde en niet enkel aan de debetzijde. - Kun je bevestigen of het probleem zich bij meerdere projecten voordoet? - Ja"
