Index,GPT-5.1_low_antwoorden
139,"Je kunt een nieuw soort medewerker toevoegen in de inrichting van Profit.

Globale stappen (kan iets verschillen per versie/autorisatie):

1) Open Profit.
2) Ga naar:
   - HRM (of Personeel) > Inrichting / Beheer > 
   - Organisatie (of Stamgegevens) > 
   - Soort medewerker.
3) Open de tabel/het overzicht “Soort medewerker”.
4) Kies Nieuw.
5) Vul de gewenste code, omschrijving en overige verplichte velden in.
6) Sla op (OK).

Zie je het menu “Soort medewerker” niet, dan heb je mogelijk niet de juiste autorisatie; vraag in dat geval je Profit-beheerder om dit voor je te doen of je rechten uit te breiden."
140,"Hoi Wendy,

Dank voor je toelichting, dat maakt het duidelijk.

Situatie:
- Aangifte Btw/icp maart is op “Definitief” gezet en klaargezet voor verzending.
- Hij is nog níet verzonden naar de Belastingdienst.
- Je wilt deze niet via Profit versturen, maar handmatig indienen.

Belangrijke punten:
- Een aangifte die op “Definitief” staat, kun je in AFAS niet meer terugzetten naar “Concept”.
- Omdat hij nog niet verzonden is, kun je wel voorkomen dat hij digitaal wordt aangeboden bij de Belastingdienst.

Doe het volgende:

1) Voorkomen dat Profit de aangifte verstuurt
- Ga naar het Communicatiecentrum / de verzendwachtrij.
- Zoek het bericht/de taak voor de Btw/icp-aangifte van maart.
- Verwijder of annuleer dit bericht uit de wachtrij.
Dan wordt er niets naar de Belastingdienst gestuurd.

2) Handmatig aangifte doen
- Open de Btw/icp-aangifte van maart in Profit.
- Print of exporteer het aangifte-overzicht.
- Gebruik deze cijfers om je handmatige aangifte bij de Belastingdienst in te vullen en in te dienen.

3) Aangifte in AFAS als afgehandeld markeren (optioneel, maar handig)
- In sommige omgevingen kun je in de aangifte aangeven dat deze “Handmatig” of “Afgehandeld” is.
- Doe dit na je handmatige indiening, zodat Profit weet dat de periode is afgerond en het geen gevolgen heeft voor volgende aangiften.

Samengevat:
Je kunt de status “Definitief” niet terugdraaien, maar omdat de aangifte nog niet verzonden is, kun je de verzending blokkeren door het bericht in de verzendwachtrij te verwijderen en daarna de aangifte handmatig bij de Belastingdienst indienen.

Als je wilt, kun je mij nog even vertellen welke Profit-versie je gebruikt (bijv. InSite/Online of lokaal), dan kan ik de knoppen/menupaden iets preciezer benoemen."
141,"Goedemorgen Ruban,

Dank voor je toelichting.

Als twee regels van de pakbonnen niet op de factuur V01250572 zijn gekomen, terwijl “niet factureren” in de layout uit stond, dan moeten we wat dieper kijken naar de instellingen achter de artikelen/projecten in plaats van alleen de pakbon-layout.

Kun je mij het volgende aanleveren/controle­ren:

1) Welke regels ontbreken precies?
- Voor elke ontbrekende regel:
  - Pakbonnummer
  - Regelnummer
  - Artikelcode / omschrijving
  - Aantal en prijs

2) Screenshot(s) van de ontbrekende regels:
- Van de pakbonregel zoals die op de pakbon staat.
- Van de bijbehorende factuur (waar die regel zou moeten staan, maar ontbreekt).

3) Controleer de instellingen van de artikelen/projecten:
Voor de artikelen op de ontbrekende regels:
- Controleer bij het artikel:
  - Of er een instelling is zoals “niet factureren”, “niet doorbelasten”, of een afwijkende omzet-/facturatie-instelling.
  - Of er een afwijkende eenheid of prijsafspraak is die facturatie kan blokkeren.
- Indien het gaat om project-doorbelasting:
  - Controleer bij het project of er voor deze artikelen/activiteiten een andere facturatiemethode of -filter actief is.
  - Controleer of deze regels misschien al eerder (per ongeluk) aan een andere factuur zijn gekoppeld.

4) Status van de pakbonnen:
- Kun je bevestigen dat alle 4 de pakbonnen volledig “gereed” stonden op het moment van factureren?
- Zijn er (achteraf) nog wijzigingen gedaan aan de pakbonnen of projectinstellingen na het genereren van de factuur?

Met die informatie kan ik gerichter nagaan waarom juist die twee regels niet zijn meegenomen en of het om een instelling (artikel/project), filter, of mogelijk een fout in de factuurgeneratie gaat. Stuur gerust de gegevens/screen­shots door, dan kijk ik stap voor stap met je mee."
142,"Goed dat je het zo duidelijk uitlegt, dat helpt.

Korte versie:
- Ja, je kunt in één administratie meerdere factuurlayouts/briefpapieren gebruiken.
- Nee, standaard kun je dat in AFAS niet rechtstreeks “op project” laten kiezen zoals jij beschrijft.
- Wel zijn er een paar omwegen/mogelijke oplossingen.

Antwoord op je vragen en mogelijke aanpak:

1) Is wat jij wilt standaard mogelijk?
- Meerdere factuurlayouts in één administratie: ja.
- Automatisch kiezen van layout puur op basis van project: in de standaard Profit-inrichting meestal niet direct.
  Meestal kun je koppelen op:
  - Debiteur/klant
  - (Verkoop)order-/factuursoort
  - Eventueel via maatwerkworkflow/rapportvariant

2) Wat je nu eerst moet doen
Je gaf aan dat je de verschillende briefpapieren nog niet hebt aangemaakt. Stap 1 is daarom:
- Maak 2 aparte factuurlayouts aan (met elk hun eigen briefpapier).
- Test of je handmatig de gewenste layout kunt selecteren bij het afdrukken van een factuur.

3) Mogelijke oplossingen om toch per project te sturen
Omdat een directe “per project” koppeling meestal ontbreekt, kun je dit op de volgende manieren benaderen:

- Via debiteur:
  - Koppel project A aan debiteuren die layout 1 moeten gebruiken, project B aan debiteuren met layout 2.
  - Stel per debiteur of debiteurgroep een standaardlayout in.
  - Nadeel: minder flexibel als dezelfde klant facturen met verschillende layouts moet krijgen per project.

- Via soort factuur / ordertype:
  - Maak twee verschillende soorten verkoopfacturen of projectfacturen aan (bijv. “Projecttype 1” en “Projecttype 2”).
  - Koppel per soort een andere rapport-/layoutvariant.
  - Gebruik per project consequent de juiste factuursoort.
  - Dit is vaak de meest werkbare workaround als je per project wilt differentiëren.

- Via maatwerk (InSite / workflows / rapportvarianten):
  - Met rapportvarianten kun je soms op basis van kenmerken (bijv. projectprofiel, projectgroep, vrij veld) de layout laten variëren.
  - Dit vergt meestal hulp van een AFAS-consultant of iemand die ervaring heeft met rapportvarianten en logica in Profit.

4) Concrete vervolgstap voor jou
- Stap 1: Laat (of maak) twee factuurlayouts/briefpapieren aan in jullie omgeving.
- Stap 2: Bepaal samen intern welke route logisch is:
  - Per debiteur(deel) → makkelijk als klanten vast bij één type project horen.
  - Per factuursoort → beter als één klant meerdere typen projecten kan hebben.
- Stap 3: Richt de gekozen route in (koppeling layout aan debiteur of factuursoort) en test met een paar proefprojecten/facturen.

Als je wilt, kun je me vertellen:
- Welke AFAS-modules jullie gebruiken (Projecten, Ordermanagement, Financieel, InSite, etc.).
- Of dezelfde klant projecten kan hebben met beide briefpapieren.

Dan kan ik gerichter aangeven welke van de bovenstaande opties het beste past en hoe je het praktisch inricht."
143,"Dank voor je toelichting, dat helpt al veel. Om dit goed te kunnen uitzoeken, hebben we nog wat extra informatie nodig en kun je zelf een paar controles doen.

Kun je het volgende controleren/aanleveren:

1) Controle in de proefberekening zelf  
- Open de proefberekening van juni 2025.  
- Klik door naar de detailberekening van het betreffende looncomponent (de premie waar de franchise op van toepassing is).  
- Controleer daar:  
  - Of de franchise nog wordt getoond (kolom/regel “franchise” of “aftrek franchise”).  
  - Of er een afwijkende basis of staffel wordt gebruikt vanaf juni 2025.  
- Maak een screenshot van:
  - De samenvatting van de proefberekening juni 2025.  
  - De detailregels van het betreffende looncomponent (met basisbedrag, franchise en premiepercentage zichtbaar).  

2) Controle instellingen looncomponent / franchise  
In Profit (Beheer → Inrichting looncomponenten / regelingen):  
- Controleer bij het looncomponent voor deze premie:  
  - Of er per 01-06-2025 een mutatie in de historie staat (bijv. andere franchise, andere basis of ander percentage).  
  - Of er een geldigheidsperiode is vastgelegd die eindigt op 31-05-2025 voor de variant mét franchise, en vanaf 01-06-2025 een variant zónder franchise.  
- Controleer de franchise-instelling zelf (bijvoorbeeld bij het pensioenschema of premie-instelling):  
  - Staat daar een nieuwe regeling of nieuwe versiedatum vanaf 01-06-2025?  
  - Is het bedrag franchise per abuis op 0 gezet of is de franchise-vink uitgeschakeld?

3) Controle arbeidsvoorwaarde / cao-/pensioenregeling bij de medewerker  
- Open de medewerkerkaart, tab Arbeidsvoorwaarden / Regelingen.  
- Controleer per 01-06-2025:
  - Of de medewerker nog aan dezelfde regeling hangt (pensioen-/verzekeringsregeling) als vóór juni.  
  - Of er een nieuwe regeling is gekoppeld vanaf 01‑06‑2025 waar geen franchise in is opgenomen.  

4) Proefberekening met andere datum  
- Maak twee proefberekeningen van dezelfde medewerker:  
  - Eén met datum mei 2025.  
  - Eén met datum juni 2025.  
- Vergelijk:
  - Het brutoloon dat als premiegrondslag wordt gebruikt.  
  - De franchise.  
  - Het toegepaste percentage.  
- Stuur ons (of voeg toe) twee screenshots naast elkaar, zodat we de verschillen in de details kunnen zien.

5) Berekening die jullie verwachten  
Je geeft aan: “we verwachten een laag premie getal”. Kun je concreet aangeven:  
- Welk bedrag aan franchise jullie verwachten (bijv. € X per maand of per jaar)?  
- Wat de juiste grondslag en het juiste percentage zijn?  
- Wat dan volgens jullie de berekende premie zou moeten zijn (kleine voorbeeldberekening)?  

Met de antwoorden op deze punten (en vooral de screenshots van de detailberekening van mei vs. juni) kunnen we gerichter nagaan of dit komt door:  
- Een wijziging in de regeling/looncomponent per 01‑06‑2025.  
- Een andere koppeling bij de medewerker.  
- Of een fout in de inrichting die specifiek vanaf juni 2025 gaat gelden.

Stuur je deze info door, dan kunnen we gericht met je meekijken waar de franchise wegvalt."
144,"Dank voor de duidelijke toelichting, dat helpt.

Je vraag in het kort:
Je hebt in InSite (Bestelportaal) een overzicht met inkooporderregels zichtbaar gemaakt. Zodra gebruikers een order openen, kunnen ze daar ook direct ontvangsten boeken, wat je juist wilt voorkomen. Dit speelt voor alle gebruikers die deze overzichten mogen zien (OK, Techniek, Medische Techniek).

Belangrijk uitgangspunt:
In AFAS/InSite kun je dit soort dingen in de regel alleen oplossen via autorisaties (rechten), niet per se via een “vinkje” op het overzicht. Je wilt dus wél:

- Inkooporders en -regels kunnen laten zien
- Maar géén recht om ontvangsten (binnenboekingen) te mogen boeken

De aanpak bestaat meestal uit twee stappen:
1) Rechten op de InSite-pagina / actieknop “Ontvangst boeken” controleren
2) Rechten op de Profit-functie “Ontvangsten boeken” beperken

Hieronder een praktisch stappenplan dat je met jullie applicatiebeheerder (of consultant) kunt nalopen.

1. Controleer de InSite-pagina (Bestelportaal / inkooporderregels)
- Ga in Profit naar: Algemeen > InSite > Pagina’s (of vergelijkbaar, afhankelijk van jullie versie).
- Zoek de pagina die jullie gebruiken voor:
  - het overzicht van inkooporderregels
  - de detail-/bewerkpagina waar de knop “Ontvangst boeken” zichtbaar is.
- Open deze pagina in de ontwerper:
  - Controleer in de eigenschappen of er specifieke actieknoppen zijn voor:
    - Ontvangst boeken / Orderontvangst / Inkoopontvangst
  - Als er voor de knop autorisatie in te stellen is:
    - Beperk die knop tot een rol die NIEMAND (of alleen een heel beperkte beheerrol) heeft.
    - Of haal de knop van deze pagina als het niet nodig is dat iemand via InSite ontvangsten boekt.

Vaak kun je op een InSite-pagina een actieknop koppelen aan een specifieke autorisatierol. Als je die rol vervolgens niet toekent aan OK/Techniek/Medische Techniek, zien zij de knop niet meer.

2. Controleer de autorisatierechten in Profit (ontvangsten boeken)
Als de knop niet afzonderlijk te beveiligen is in InSite, dan moet je via Profit de gebruikersrechten beperken:

- Ga naar: Algemeen > Inrichting > Autorisatie (Autorisatie-tool).
- Open de autorisatierol(len) die jullie nu gebruiken voor:
  - OK
  - Techniek
  - Medische Techniek
- Zoek binnen deze rollen naar rechten op inkoopontvangsten, bijvoorbeeld:
  - “Inkoopontvangst boeken”
  - “Ontvangsten boeken”
  - “Inkooporderontvangst onderhouden/aanmaken”
- Zet deze rechten op:
  - alleen lezen (indien beschikbaar), of
  - volledig uit (geen recht).
  
Let op:
- Als je deze rechten centraal uitzet, kunnen deze rollen nergens meer in Profit ontvangsten boeken (dus ook niet buiten InSite). Controleer of dat gewenst is.
- Als bepaalde mensen wél ontvangsten moeten kunnen boeken, geef die een aparte rol met:
  - wél recht op “ontvangsten boeken”
  - maar laat die rol niet gekoppeld zijn aan het InSite-overzicht voor OK/Techniek/Medische Techniek als je daar de knop wilt verbergen.

3. Mogelijke rol-splitsing (aanbevolen)
Omdat dit alle gebruikers met toegang tot de overzichten treft:

- Maak aparte rollen:
  - “Bestelportaal – Alleen inzien inkooporders/regels”
  - “Bestelportaal – Mag ook ontvangsten boeken”
- Koppel:
  - De eerste rol aan OK, Techniek, Medische Techniek
  - De tweede alleen aan een klein aantal bevoegde personen (bijv. magazijn/logistiek)
- In Profit geef je alleen de tweede rol de rechten op “ontvangsten boeken” en op de betreffende InSite-acties.

4. Als jij en Raymon niets kunnen vinden
Als jullie al bij de pagina en autorisatie zijn geweest maar de knop niet apart lijkt te beveiligen:

- Noteer:
  - De exacte naam van de InSite-pagina (titel in het menu)
  - De code/naam van het betrokken InSite-thema of site
  - Een screenshot van de knop/actie “Ontvangst boeken”
- Laat deze info checken door:
  - jullie AFAS-beheerder, of
  - AFAS Support / jullie consultant
Met die info kunnen zij gericht zeggen:
- of deze knop via pagina-autorisatie is uit te zetten
- of dit uitsluitend via Profit-autorisatie (functie “ontvangsten boeken”) kan
- of er in jullie versie een beperking is waardoor de knop altijd zichtbaar is voor iedereen die de pagina mag openen.

Samenvattend gewenste situatie en oplossing:
- Gewenst: OK, Techniek en Medische Techniek kunnen in InSite:
  - inkooporders/-regels inzien
  - maar géén ontvangsten boeken (en dus ook liefst de knop niet zien)
- Oplossing:
  - InSite-pagina controleren en de actie “Ontvangst boeken” alleen koppelen aan een beperkte rol, of
  - via autorisatierollen in Profit het recht op “ontvangsten boeken” weghalen bij OK/Techniek/Medische Techniek en zo nodig een aparte rol maken voor degenen die wél moeten boeken.

Als je me nog even kunt geven:
- De exacte naam van de InSite-pagina / het menu-item
- Of jullie al in de Autorisatie-tool hebben gekeken welke rechten de rol van OK/Techniek heeft

dan kan ik het nog concreter maken (“klik hier, zoek daar op deze term, zet dit vinkje uit”)."
145,"Beste mevrouw Dorrestein,

Dank voor uw duidelijke toelichting.

Op basis van uw informatie begrijp ik het volgende:
- Het huidige extra omschrijvingsveld bij artikelen is voor u niet bruikbaar/zichtbaar voor de koppeling met WooCommerce/Improvit.
- U wenst een nieuw tekstveld op artikelniveau voor een uitgebreide artikelomschrijving, dat:
  - beschikbaar is in Ordermanagement,
  - via WooCommerce/Improvit aan de website kan worden gekoppeld,
  - en bij voorkeur ook zichtbaar is op pakbonnen en facturen.
- De lay-out van pakbonnen en facturen is in het verleden al aangepast.

Enkele punten/voorstel:

1) Nieuw tekstveld voor uitgebreide artikelomschrijving
- Het is in principe mogelijk een extra tekstveld aan het artikel (Item) toe te voegen.
- Dit betreft een aanpassing in de database/configuratie én in het schermontwerp van Ordermanagement (tabblad “Algemeen”).
- We kunnen dit veld bijvoorbeeld benoemen als “Uitgebreide artikelomschrijving” of een naam naar uw keuze.

2) Zichtbaarheid op pakbonnen en facturen
- Dat de huidige extra omschrijving nu niet zichtbaar is, heeft vrijwel zeker met de lay-out van de pakbonnen/facturen te maken.
- Om het nieuwe veld (of eventueel het bestaande veld) zichtbaar te maken, moet de lay-out van de pakbon en factuur worden aangepast zodat:
  - het veld wordt uitgelezen,
  - op de juiste plek en in het gewenste formaat wordt afgedrukt.

3) Koppeling met WooCommerce/Improvit
- Voor gebruik in WooCommerce/Improvit moet het nieuwe veld:
  - óf worden toegevoegd aan de bestaande export/interface richting WooCommerce/Improvit,
  - óf binnen die koppeling specifiek worden geconfigureerd als extra veld.
- Afhankelijk van hoe uw huidige koppeling is ingericht, kan dit een kleine of iets grotere aanpassing zijn.

4) Vervolgstappen
Voor we dit kunnen inplannen, hebben we nog een paar praktische details nodig:
- Gewenste naam van het nieuwe veld (bijv. “Uitgebreide omschrijving web”).
- Bevestiging dat dit veld:
  - zowel voor de website als voor pakbon/factuur gebruikt moet worden, of
  - alleen voor website (en eventueel een ander veld voor pakbon/factuur).
- Uw voorkeur waar in het artikel-scherm het veld moet komen te staan (bijv. onder de huidige omschrijving / extra omschrijving).
- Een voorbeeld van hoe u de tekst op pakbon en factuur wilt zien (bij artikelregel, onder de hoofdomschrijving, wel/geen afbreking, etc.).

Zodra we deze punten van u hebben, kunnen we:
- inschatten welke aanpassingen nodig zijn (veld + lay-out + koppeling),
- en u een voorstel doen voor de uitvoering (eventueel via consultancy/change-verzoek).

Kunt u bovenstaande punten bevestigen/aanvullen? Dan plannen we de vervolgstap graag voor u in.

Met vriendelijke groet,

[Uw naam]
[Uw functie]
[Organisatie]"
146,"Dank voor de duidelijke toelichting.

Op basis van wat je al gecontroleerd hebt, is de stamdata waarschijnlijk in orde (omdat dezelfde boeking handmatig wel lukt). De foutmelding “Object variable or With block variable not set” wijst meestal op:

- Een veld dat in de importdefinitie wordt verwacht maar leeg of ongeldig is in (één van) de regels in het CSV-bestand.
- Een combinatie dagboek / grootboek / relatie / dimensies die tijdens het importeren toch een verplicht gegeven mist (bijvoorbeeld kostenplaats, valuta, betalingswijze, etc.).
- Een verschil tussen wat de importdefinitie verwacht (veldtype / formaat / lengte) en wat er in de CSV staat.

Omdat ik de bijlagen niet echt kan openen, kan ik je het beste een gerichte stappenlijst geven om te achterhalen wat er misgaat:

1) Bepaal exact op welke regel het misgaat
- Kijk in het foutenrapport welke regel(s) uit het CSV-bestand de fout triggeren.
- Als er geen regelnummer staat: probeer:
  - Eerst één enkele mutatieregel importeren.
  - Daarna de volgende, enzovoort.
- Zodra je de eerste foutgevende regel hebt, kun je die gericht vergelijken met een succesvolle regel.

2) Vergelijk de foutregel met een handmatige boeking
Neem een handmatig ingevoerde, werkende boeking in dagboek 15 en vergelijk die met de foutregel in de CSV:

- Zelfde:
  - Dagboekcode (15).
  - Datum en periode (per map/boekjaar).
  - Grootboekrekening (en of hier kostenplaats/kostendrager verplicht is).
  - Relatie (crediteur) en betaalgegevens.
  - Valuta + koers indien dagboek/relatie valuta-specifiek is.
- Let erop of:
  - De kostendragers/kostenplaatsen die op de grootboekrekening verplicht zijn, ook daadwerkelijk in de CSV-regel zijn gevuld.
  - Er geen extra velden in de importdefinitie staan die bij deze regel leeg zijn, terwijl ze “Verplicht” zijn ingesteld.

3) Controleer de importdefinitie versus CSV
Loop de importdefinitie (financiële mutaties voor dagboek 15) regel voor regel na:

- Sluit aan:
  - Aantal kolommen in de CSV op het aantal velden in de importdefinitie.
  - De veldvolgorde.
- Controleer:
  - Verplichte velden: staat daar niet ten onrechte een veld als verplicht dat in bepaalde regels leeg is?
  - Datums: formaat (bijv. dd-mm-jjjj vs jjjj-mm-dd) en of er geen ongeldige datums in de CSV staan.
  - Bedragen: decimalen, scheidingsteken (komma vs punt), geen vreemde tekens.
  - Relationele velden (relatiecode, grootboek, kostenplaats, kostendrager): bestaan deze in de omgeving en zijn ze geldig in de periode?

4) Specifiek voor dagboek 15 (betalingen onderweg)
Dagboek “betalingen onderweg” heeft vaak specifieke eisen:

- Check of:
  - Het gekoppelde grootboek geen aanvullende verplichte dimensies heeft die niet gevuld zijn in de CSV.
  - De gebruikte betaalmethode of soort mutatie (bijv. type regel in de importdefinitie) klopt voor dit dagboek.
  - De valuta-instellingen in de importdefinitie aansluiten bij het dagboek (bij vreemde valuta moet de valuta én eventueel koers worden meegegeven).

Probeer ook:
- Exact dezelfde boeking als je handmatig hebt geboekt, één-op-één in de CSV te zetten (inclusief alle velden) en met dezelfde importdefinitie in te lezen.
  - Werkt dit wel? Dan zit het probleem in één van de andere regels of in een veld dat daar anders/ontbrekend is.
  - Werkt dit niet, dan zit het probleem in de importdefinitie zelf (mapping of veldinstellingen).

5) Typische “verborgen” oorzaken bij deze foutmelding
Let extra op of in de foutregel:

- Een relatiecode staat die wel bestaat, maar bijvoorbeeld als debiteur i.p.v. crediteur, terwijl de importdefinitie een crediteur verwacht (of andersom).
- Een grootboekrekening gebruikt wordt die:
  - Nog niet is vrijgegeven voor de betreffende periode; of
  - Binnen een bepaalde categorie valt (bijvoorbeeld balansrekening) waarvoor extra dimensies verplicht zijn.
- Een veld in de importdefinitie is gekoppeld aan:
  - Kostenplaats/kostendrager/project, maar in de foutregel leeg is terwijl het op grootboekniveau verplicht is.

Conclusie / concreet advies:
- Gebruik het foutenrapport om de eerste foutgevende regel te vinden.
- Importeer die regel geïsoleerd.
- Vergelijk die regel 1-op-1 met een handmatig ingevoerde, werkende boeking in dagboek 15.
- Controleer of alle in de importdefinitie als verplicht ingestelde velden in die regel daadwerkelijk gevuld zijn en dat alle gebruikte codes (grootboek, relatie, dimensies) bestaan en toegestaan zijn.

Als je wilt, kun je (geanonimiseerde) inhoud van:
- De foutgevende CSV-regel, en
- De bijbehorende velden uit de importdefinitie
hier plak-teksten, dan kan ik gericht aanwijzen welk veld het waarschijnlijk veroorzaakt."
147,"Dank voor je melding.

Ik zie dat in de autorisatietool geen bijzonderheden zijn gevonden. Om verder te kunnen uitzoeken waarom er geen data en geen taken zichtbaar zijn op Insite, heb ik een paar aanvullende gegevens nodig:

1) Geldt dit voor:
   - alle onderdelen van Insite (nieuws, documenten, rapportages, etc.), of
   - specifiek voor het taakoverzicht / bepaalde modules?

2) Heb je dit al getest:
   - In een andere browser (bijv. Chrome/Edge/Firefox)?
   - In een privé-/incognitovenster?
   - Met alle filters in het taakoverzicht uitgezet (datum, status, afdeling, etc.)?

3) Kun je een screenshot sturen:
   - Van wat je precies ziet op Insite (inclusief eventuele filters),
   - En eventueel van een foutmelding als die verschijnt?

4) Is je gebruikerscode recent gewijzigd (bijv. nieuw account of na een functiewijziging)?
   - Zo ja, per welke datum?

Zodra ik deze informatie heb, kan ik gerichter in de logging en rechten (rollen/groepen) kijken en eventueel laten controleren of jouw nieuwe gebruikerscode wel aan de juiste groepen/teams is gekoppeld."
148,"Dank voor de toelichting, dit is een wat “vreemd” verschijnsel maar komt in de praktijk vaker voor dan je zou denken. Ik zet eerst de meest waarschijnlijke oorzaken op een rij en daarna wat je kunt controleren.

Waarschijnlijke oorzaak (korte versie)
Het meest logisch is dat de bijlagen:
- wél vanaf de Werk‑PC zijn gedownload,
- maar in feite terechtkomen in een “gesynchroniseerde” Downloads-map die ook op de Privé‑PC aanwezig is.

Dat kan op o.a. deze manieren:
- Er wordt dezelfde Microsoft-/Office-/OneDrive-account gebruikt op Werk‑PC en Privé‑PC, waardoor de map “Downloads” (of een andere map) wordt gesynchroniseerd.
- Er wordt dezelfde browseraccount gebruikt (bijv. Chrome/Edge met synchronisatie van instellingen en/of downloadlocatie via profiel).
- Er is ooit een (remote) koppeling geweest waardoor de standaard downloadlocatie is blijven wijzen naar een pad dat feitelijk op/naar de Privé‑PC (of een cloudmap die daarop zichtbaar is) verwijst.

Omdat er op de Werk‑PC geen foutmelding komt en Profit “gewoon” denkt dat het de bestanden opslaat, is de kans groot dat ze niet worden “niet gemaakt”, maar simpelweg op een onverwachte locatie terechtkomen.

Wat kun je nu het beste controleren?

1) OneDrive / cloudsync
- Is op beide pc’s OneDrive (of Dropbox/Google Drive e.d.) actief?
- Wordt op de Werk‑PC de map “Downloads” of een andere map waarnaar Profit downloadt, gesynchroniseerd via OneDrive naar dezelfde account als op de Privé‑PC?
  - Rechtsklik op map Downloads op de Werk‑PC → Eigenschappen → Locatie:
    - Zie je hier een pad dat naar OneDrive verwijst (bijv. C:\Users\<naam>\OneDrive\…)?  
  - Log in op OneDrive-web (met de account die op één of beide pc’s is gebruikt):
    - Zie je daar de gedownloade factuurbijlagen terug?

2) Browser-/Profit‑instellingen voor downloads
Afhankelijk van hoe Profit geopend wordt:

- Als Profit in de browser draait (Profit Web / InSite / OutSite):
  - Open op de Werk‑PC de browser (Edge/Chrome) → Instellingen → Downloads:
    - Wat is de ingestelde downloadmap?
    - Staat daar bijvoorbeeld een pad dat lijkt op:
      - \\…\OneDrive\… of
      - een netwerkpad dat mogelijk op een gesynchroniseerde map wijst?
  - Controleer of in de browser een werk- of privéaccount is ingelogd bij:
    - Edge: Instellingen → Profielen.
    - Chrome: Profiel rechtsboven → Synchronisatie.
  - Wordt hetzelfde browserprofiel met synchronisatie gebruikt op zowel Werk‑PC als Privé‑PC?

- Als Profit als Windows‑applicatie (fat client) gebruikt wordt:
  - Controleer in Profit (of in de Profit-instellingen op de Werk‑PC):
    - Welke standaard map staat ingesteld voor export/download van bijlagen?
    - Is dat een OneDrive-/cloudmap of een netwerkpad dat op beide systemen terugkomt?

3) Was er sprake van remote verbindingen?
Vraag na bij de collega:
- Heeft hij/zij:
  - Via Remote Desktop/TeamViewer/AnyDesk e.d. ooit vanaf de Privé‑PC naar de Werk‑PC (of andersom) gewerkt?
  - Tijdens zo’n sessie lokale schijven van de Privé‑PC beschikbaar gemaakt in de sessie?
In sommige gevallen blijft een pad of driveletter uit zo’n sessie als standaardlocatie staan.

4) Waarom worden de PDF’s niet “geopend” op de Werk‑PC?
Een paar mogelijkheden:
- De browser of Profit probeert de bijlage direct te openen, maar:
  - het PDF‑programma (Adobe/Edge) staat niet (goed) ingesteld als standaard, of
  - er is een pop‑up of downloadbalk die wordt gemist (bestand wordt wel opgeslagen, maar niet automatisch geopend).
- Het bestand wordt wél gedownload naar de “verkeerde” map (bijvoorbeeld de gesynchroniseerde map richting Privé‑PC), waardoor het lijkt alsof er niets gebeurt.

Laat de collega na het klikken op een bijlage op de Werk‑PC direct:
- De map “Downloads” op de Werk‑PC openen.
- Controleren of in de “Recent geopende bestanden” in Verkenner of Acrobat iets verschijnt.

Concrete vervolgstappen / vragen
Kun je (of de collega) het volgende nagaan en terugkoppelen:
1) Is op beide pc’s dezelfde Microsoft-/Office-/OneDrive-account ingelogd?
2) Is op beide pc’s dezelfde browseraccount (Edge/Chrome) ingelogd met synchronisatie?
3) Wat is op de Werk‑PC:
   - de exacte ingestelde downloadlocatie in de browser, en
   - de locatie van de map Downloads (Eigenschappen → Locatie)?
4) Worden de factuurbijlagen op de Privé‑PC in een OneDrive-/cloudpad binnen Downloads geplaatst, of echt in een “lokale” Downloads-map?

Met die info kunnen we vrij precies bepalen:
- of het via OneDrive (of andere cloud) gaat,
- of via browser-/profielsynchronisatie,
- of er nog een andere koppeling actief is."
